Protein	A_Hi_GH	B_Hi_GH	C_Hi_GH	A_Lo_GH	B_Lo_GH	C_Lo_GH
NODE_100_length_80732_cov_39.012519_68	28.0287842982528	27.8666353728152	27.3611782572867	NA	NA	NA
NODE_10033_length_2487_cov_4.811266_2	NA	NA	NA	24.2958608394595	25.3240806283039	24.9679400236316
NODE_1010_length_28714_cov_50.468021_16	27.4986880572758	26.6741138031902	25.8580424805802	27.4522029632875	28.0966983341208	25.7658752722871
NODE_101703_length_374_cov_1.902821_1	28.977273633835	28.5063891258861	27.0313897480164	NA	27.5682294380316	NA
NODE_1017061_length_481_cov_1.500000_1	25.2978208330237	25.8681122884311	25.1491870546752	NA	NA	NA
NODE_102_length_38513_cov_17.481356_19	NA	NA	25.6797614189136	30.1020697181647	29.1836385189907	29.1959545486528
NODE_1024163_length_269_cov_0.897196_1	23.4590142971042	23.6385410901711	23.4173817809205	24.8641494860496	NA	23.0104516158462
NODE_1026_length_28395_cov_7.872336_5	NA	NA	NA	26.6484609701249	26.6678700588224	24.8919743663616
NODE_103_length_38258_cov_14.684711_2	NA	NA	23.37238791639	26.4095493942731	25.7986080242427	24.9963697651086
NODE_1031385_length_268_cov_1.352113_1	NA	NA	NA	27.803658558659	25.7487313187588	27.3945206554325
NODE_1047_length_8409_cov_4.561887_7	26.847925780421	28.5019366230301	28.2959440182794	30.571411194261	28.4359903391569	28.2820541033036
NODE_10511_length_1983_cov_2.682573_2	NA	NA	NA	25.1844648145164	25.6199727577216	25.4928221414644
NODE_1051488_length_501_cov_1.322870_1	27.074696642268	26.9323573275182	26.0221891516804	NA	27.6008788555266	NA
NODE_1054466_length_500_cov_1.723596_2	29.6318348761974	28.0907335188408	26.4982163122989	NA	NA	NA
NODE_1059_length_27807_cov_11.604713_11	28.7987610873845	27.7298250760726	28.1056007594145	28.5046387673302	25.1620982429526	26.7570266790329
NODE_10682_length_3411_cov_4.659714_2	NA	NA	NA	26.1476625215535	25.4360618464326	25.8957361300059
NODE_1093315_length_390_cov_1.677612_1	31.3146788156557	30.4594364966824	30.4018207066916	30.7714022177415	29.5371962384479	30.8472239097961
NODE_1096_length_27003_cov_13.435394_2	27.0638043697952	26.7399085672368	26.8974567242899	NA	22.8950796850053	NA
NODE_1096167_length_489_cov_1.679724_2	NA	NA	NA	28.3739730266815	26.9895602920834	28.3355605254839
NODE_10973_length_2198_cov_4.380775_1	28.1451588722055	29.6273710401085	29.3828044128595	27.0952685564084	26.5287421539962	NA
NODE_1102058_length_460_cov_1.604938_1	NA	NA	NA	28.5455053340027	28.1378503710595	27.6191192203249
NODE_110654_length_1082_cov_1.540409_1	23.8836225165359	25.1145786060864	27.5404664995426	NA	NA	NA
NODE_111_length_69898_cov_49.514268_29	28.1666497199795	28.2033402314371	27.8936725890957	25.4148146785485	28.1592217421845	22.7329652401155
NODE_111186_length_404_cov_3.134670_2	26.628925396871	27.1920506425739	27.1424833853981	NA	NA	NA
NODE_1126875_length_260_cov_1.873171_1	NA	NA	NA	27.6416173031112	25.9091690561052	27.6320776461365
NODE_1157523_length_473_cov_3.181818_1	NA	27.9440813753019	27.9342148388007	30.460022680089	29.2583575618161	28.0835491204831
NODE_1160415_length_378_cov_2.133127_1	28.1319277482801	27.5386769129155	26.9825055345494	24.8702777907591	NA	NA
NODE_117765_length_1064_cov_3.125867_1	29.283700298158	29.0903549547715	25.426048184293	NA	NA	NA
NODE_1179582_length_256_cov_1.432836_1	NA	NA	NA	26.0639603337696	26.5454685103611	24.7668863418084
NODE_1196675_length_464_cov_2.200489_1	27.7660712223585	28.1586068377835	27.0697891637947	NA	NA	NA
NODE_12_length_417279_cov_36.723393_147	27.0746896832437	27.4129401734366	25.4369514183865	NA	25.0418587238624	NA
NODE_12_length_417279_cov_36.723393_192	27.2704050294565	27.0045384995978	26.6410935688057	NA	25.4594521313313	NA
NODE_12_length_417279_cov_36.723393_223	25.2362837463516	26.6784122878175	23.6461071762096	NA	NA	NA
NODE_12_length_417279_cov_36.723393_34	28.9734691402245	28.8281802121691	28.5969379704221	26.292950942156	27.1877540019795	NA
NODE_12_length_417279_cov_36.723393_87	28.1337570091192	27.568465028899	26.9698730481237	NA	25.9043301402353	NA
NODE_122_length_66535_cov_24.245412_42	25.7662401815886	28.0613843404335	26.564030682417	NA	27.7446731382237	25.0200494242879
NODE_12302_length_734_cov_1.755523_1	NA	NA	23.6934920621348	26.0249385933211	26.9421246476984	25.6420444192704
NODE_124_length_66347_cov_34.362910_16	26.6394108198006	27.2993622376338	27.0022612511449	NA	NA	NA
NODE_1245987_length_359_cov_1.476974_1	27.9507144676343	27.9704875586165	28.3305259780305	NA	NA	NA
NODE_125_length_31678_cov_14.865984_18	NA	NA	NA	26.8329082910179	26.312879782937	26.3412914689783
NODE_1253700_length_427_cov_1.387097_1	25.5763477885871	NA	NA	23.467870188648	24.6107108275102	26.0074434362993
NODE_1262635_length_356_cov_2.355482_1	26.453043381153	26.3884445193925	26.8100487004628	27.6582346270037	26.8729448906947	27.2515564381051
NODE_127253_length_854_cov_1.819775_1	26.7391413489633	28.8924657894236	27.1831589948095	26.6650030300455	26.3040955828521	25.5915838996652
NODE_1277625_length_359_cov_1.309211_1	31.5904940808165	NA	NA	29.2386782819795	28.3588814134591	28.9492399876879
NODE_1296652_length_356_cov_1.578073_1	26.8566185340515	26.4087115863754	26.0190154984091	27.6508204732081	NA	NA
NODE_130_length_64212_cov_533.077716_22	27.6765350552021	26.5832066527324	25.0304596951304	NA	NA	NA
NODE_1373588_length_345_cov_1.324138_1	29.2804073554361	29.0138240787081	29.1047959643528	NA	NA	30.3223824015125
NODE_139441_length_521_cov_1.021459_1	26.7957547139785	26.5354915820147	NA	24.0446022346241	25.5330571040663	23.0213548236278
NODE_140_length_58729_cov_15.400382_47	26.05029166446	26.29660927625	24.589513390726	NA	NA	NA
NODE_1411020_length_240_cov_1.037838_1	24.2395798838764	27.0583865950898	28.7997429229766	NA	27.6286299545922	24.8128905813019
NODE_1421178_length_339_cov_1.338028_1	27.0678932740327	28.2216795982983	25.9638898563821	NA	25.6105418771783	NA
NODE_1430202_length_338_cov_0.918728_1	27.6788216835911	28.4426095815563	29.2269013008821	NA	NA	NA
NODE_1436_length_4410_cov_4.788289_1	NA	27.145207471523	27.1634617309695	26.8411616853125	26.7285815471603	25.6300093255
NODE_144_length_58082_cov_15.232978_37	26.720554375225	27.8549554848289	26.6695256755378	NA	NA	NA
NODE_144294_length_273_cov_0.880734_1	25.7188965475081	25.3755563973003	24.389097199071	NA	NA	NA
NODE_144380_length_515_cov_1.917391_1	25.2313993311465	25.5131909742874	23.6680652113932	NA	NA	NA
NODE_1450288_length_411_cov_1.980337_1	NA	NA	NA	32.1975351639664	29.3144951518954	31.5422243437261
NODE_145109_length_332_cov_1.574007_1	26.8273558857875	27.7666083683189	27.1770262019338	26.9682916753297	NA	25.5323735243136
NODE_146_length_55824_cov_14.301117_41	27.7036466615563	27.273123467216	26.4558732437065	NA	NA	NA
NODE_148_length_26664_cov_17.077831_1	28.0646593936309	28.4374991853217	25.3343589506393	NA	NA	NA
NODE_148109_length_394_cov_1.421829_2	26.3537174552044	25.269208309785	27.4471186118221	25.1284116371481	NA	25.819654237731
NODE_15_length_277354_cov_32.907490_192	26.1965787525213	27.2625378673932	26.4969785167447	NA	NA	NA
NODE_15_length_277354_cov_32.907490_228	27.3713994533056	27.5619904230609	26.9959880048394	NA	NA	NA
NODE_154222_length_802_cov_1.835341_1	26.7635691898229	27.5887230872763	26.7078850346327	NA	NA	NA
NODE_1544344_length_231_cov_1.619318_1	NA	NA	NA	33.1208217424182	31.8674702515918	32.5011868727708
NODE_155_length_52976_cov_14.611837_11	27.8713025932587	27.62739191505	25.8580058447593	NA	NA	NA
NODE_155_length_52976_cov_14.611837_4	26.7935950411696	27.1591748867177	24.6764831147783	NA	NA	NA
NODE_1581841_length_368_cov_1.840256_1	28.0470934711888	27.6751239288232	25.6863224824287	NA	NA	NA
NODE_1582938_length_368_cov_1.533546_1	25.7002822263547	24.5468082857287	23.6530123227109	NA	NA	NA
NODE_162_length_47775_cov_39.301760_24	26.8153741702058	26.6586719458795	25.6995512556579	25.4256000926517	26.9119894385791	NA
NODE_1635681_length_311_cov_0.882812_1	NA	NA	NA	28.0129188499079	26.2564691584014	28.2518275829468
NODE_1648180_length_358_cov_1.584158_2	25.0339747528966	26.7313488140661	24.8085765625382	NA	NA	NA
NODE_1656697_length_308_cov_1.517787_1	29.7267965353529	30.4270039147331	27.1722645135367	24.243580200384	NA	NA
NODE_1660_length_18978_cov_8.600539_2	21.4216251937885	24.7132954675832	NA	27.0895167128848	21.2902461406394	27.0374257080153
NODE_1690_length_18757_cov_16.526040_11	NA	NA	NA	27.3512338596559	27.0110388558233	27.230448100018
NODE_1697405_length_351_cov_0.864865_1	NA	NA	NA	33.899875363755	32.423922514484	32.1982380033961
NODE_1701006_length_221_cov_1.156627_1	28.2414996017196	27.8549554848289	26.6695256755378	NA	NA	NA
NODE_170675_length_490_cov_1.839080_1	28.4784418129523	28.7890364458816	26.0643381765672	26.1119949468802	26.3429236276838	25.3826367785705
NODE_1706799_length_303_cov_1.157258_1	30.0910615273687	28.9410613117006	26.915816116319	28.3716902480511	27.1727413902279	27.4132065715346
NODE_1751628_length_343_cov_1.406250_1	26.5687440636931	26.6066011347381	31.4125331654552	NA	25.3549114260257	28.2647239196348
NODE_1791979_length_354_cov_2.157191_1	29.4962134837606	29.1087638367674	27.4723553108518	NA	NA	NA
NODE_1798376_length_292_cov_1.113924_1	26.4602023952914	26.9909671132976	24.9849406102463	NA	NA	NA
NODE_1802108_length_353_cov_1.221477_1	26.253821234083	25.1238021950919	26.3293202009908	NA	NA	NA
NODE_180867_length_260_cov_0.936585_1	NA	26.4899280528568	27.2999877244056	26.7732901504526	25.9275052728288	25.8968218444995
NODE_1838901_length_288_cov_1.236052_1	NA	NA	NA	24.9339110460184	26.2074695722637	24.5569559660399
NODE_185540_length_760_cov_2.272340_1	25.5632840336695	26.6228235479743	23.6491079127153	NA	NA	NA
NODE_187_length_41794_cov_24.545653_18	27.1382345826669	26.7252125173281	27.3996793817253	26.2605127147739	26.8958516703929	27.3321833449636
NODE_1876737_length_210_cov_0.612903_1	26.7606570133291	26.0097300537634	27.1061946992666	NA	NA	NA
NODE_187728_length_938_cov_2.772367_1	NA	NA	NA	25.3294057503027	24.0824531406292	25.1017339999048
NODE_1880605_length_209_cov_1.805195_1	30.4077071947999	29.6548199383809	29.9453099613829	30.3424438688303	NA	NA
NODE_1884746_length_282_cov_1.691630_1	NA	29.0466382371961	NA	29.9532426121825	30.114955830573	27.0971790780869
NODE_188745_length_260_cov_0.936585_1	NA	NA	NA	28.2219025392617	26.05955257609	27.8441738881689
NODE_1898847_length_281_cov_2.123894_1	22.8624761821545	24.928364033354	23.3136824292581	NA	NA	NA
NODE_19_length_93630_cov_16.507133_74	NA	NA	NA	26.8925068869959	26.6854779875875	27.2900298889458
NODE_1910104_length_280_cov_0.853333_1	29.5092806212016	29.4944978276648	28.5064647943557	NA	NA	29.2366498959256
NODE_1946481_length_277_cov_1.292793_1	NA	NA	NA	27.1743615929214	26.0073578849582	25.0934965498824
NODE_1948_length_16673_cov_4.612408_11	27.0453107353734	26.9532703693959	31.1104512396347	26.9700486492608	28.4472684076082	29.362125660321
NODE_195_length_39948_cov_67.697691_11	27.1300627229633	27.5573504583896	26.8914951779981	NA	25.8593702305144	23.185043575866
NODE_1959136_length_315_cov_1.846154_1	30.3562597608371	29.8152352021791	27.4493954053509	28.6905246069269	NA	NA
NODE_196417_length_352_cov_1.292929_1	NA	NA	NA	26.1853120725435	26.2369554758019	26.0586239950506
NODE_1975501_length_274_cov_1.095890_1	27.0018505498409	26.9227502507327	24.5204930361978	NA	24.9818090430551	NA
NODE_2_length_633876_cov_395.559562_267	26.9140830669205	26.0095663356103	28.2033502155589	25.2808748658331	26.7369470199203	24.8902720711306
NODE_2007100_length_271_cov_1.763889_1	26.4233896054078	24.6089330423172	NA	24.3999237999803	24.9466825061066	24.0902287446707
NODE_202_length_38951_cov_23.099753_19	26.2390426334139	25.7153316459697	24.7399879449357	NA	NA	24.6015779684364
NODE_2021959_length_323_cov_0.694030_1	24.7248575671379	26.8010791332696	25.4078692407442	NA	NA	NA
NODE_2029857_length_306_cov_2.294821_1	25.5548209144519	26.277372969286	25.5232479862599	27.5308119647014	30.0640618726798	26.4007545124456
NODE_2051856_length_304_cov_1.140562_1	26.8790442086063	28.246219783495	28.0499732888072	27.1969492027704	25.3483576539207	25.2551367971717
NODE_2054766_length_267_cov_1.811321_1	25.2978208330237	25.8681122884311	25.1491870546752	NA	NA	NA
NODE_2092701_length_264_cov_2.296651_1	26.265332183717	27.4870013042223	27.1751234121026	NA	NA	NA
NODE_21_length_231770_cov_67.560775_179	27.6667338582689	28.1286914555332	27.2828567834035	26.9716938712898	26.7611898365755	25.5578908838796
NODE_21_length_86002_cov_17.429323_33	NA	NA	NA	27.3462622604622	25.7050111223075	26.7170988175048
NODE_211_length_36337_cov_21.506670_5	26.9502463830622	27.6558100519123	29.5121189946993	27.3917063345639	27.6346311905373	27.4636494936785
