slr	t	score	n	p	p.fdr	pBH	FC
NODE_100_length_80732_cov_39.012519_68	-0.24354884633611	-5.32442556405279	0.000516621217848636	1	0.000516621217848636	0.00139819503913163	0.00139819503913163	-4.48928
NODE_10033_length_2487_cov_4.811266_2	0.142898333500028	3.15153518529798	0.0120479400356008	1	0.0120479400356008	0.0175947639133774	0.0175947639133774	2.42538
NODE_1010_length_28714_cov_50.468021_16	-0.0591112160912258	-1.27301375277977	0.235634204283213	1	0.235634204283213	0.263303372210409	0.263303372210409	-1.11716666666667
NODE_101703_length_374_cov_1.902821_1	-0.216619265505477	-3.62238435299291	0.00576829754341603	1	0.00576829754341603	0.00955981896240298	0.00955981896240298	-3.96806333333333
NODE_1017061_length_481_cov_1.500000_1	-0.193969632007763	-4.03193123213507	0.00310841097723059	1	0.00310841097723059	0.00599334142668644	0.00599334142668644	-3.31350666666667
NODE_102_length_38513_cov_17.481356_19	0.269026164452996	5.85262343943294	0.000265699435631479	27	1.74728085385671e-43	5.15447851887731e-41	5.15447851887731e-41	4.94331148148148
NODE_1024163_length_269_cov_0.897196_1	-0.0227739601480144	-0.453349076163043	0.661276179797349	1	0.661276179797349	0.691760542695809	0.691760542695809	-0.353036666666668
NODE_1026_length_28395_cov_7.872336_5	0.244445579880686	5.46001495087965	0.000433962193687221	1	0.000433962193687221	0.00125508673664441	0.00125508673664441	4.20467333333333
NODE_103_length_38258_cov_14.684711_2	0.192739291627518	3.72590712980708	0.00492333102944501	3	7.24788901794805e-05	0.000381224351056409	0.000381224351056409	3.46421666666667
NODE_1031385_length_268_cov_1.352113_1	0.239259683433008	4.79660831193702	0.00104409089363993	1	0.00104409089363993	0.00242525050097464	0.00242525050097464	4.26852666666667
NODE_1047_length_8409_cov_4.561887_7	0.113147761280458	1.37221255067404	0.203978755263175	1	0.203978755263175	0.229670735887926	0.229670735887926	2.17526666666667
NODE_1051488_length_501_cov_1.322870_1	-0.136018701683915	-2.26228106413815	0.0506502907152847	1	0.0506502907152847	0.0638539989786709	0.0638539989786709	-2.38919333333333
NODE_1054466_length_500_cov_1.723596_2	-0.364508482716624	-7.35315265776143	4.87433652708487e-05	1	4.87433652708487e-05	0.000276524860671161	0.000276524860671161	-6.51265333333334
NODE_1059_length_27807_cov_11.604713_11	0.0108388151503549	0.195788210433358	0.84922502097119	1	0.84922502097119	0.86533786295626	0.86533786295626	0.177130000000002
NODE_10682_length_3411_cov_4.659714_2	0.142755353523962	2.88730671787725	0.0183897104390217	1	0.0183897104390217	0.0253456233800041	0.0253456233800041	2.55114666666667
NODE_1093315_length_390_cov_1.677612_1	-0.0156889001439081	-0.355259199262971	0.730766815779617	1	0.730766815779617	0.756407756684165	0.756407756684165	-0.340039999999998
NODE_1096_length_27003_cov_13.435394_2	-0.31919279538292	-6.93745710572679	7.59342155790308e-05	1	7.59342155790309e-05	0.000381224351056409	0.000381224351056409	-5.72332
NODE_1096167_length_489_cov_1.679724_2	0.292866307050026	6.23408396864976	0.0001682236580077	1	0.000168223658007701	0.000635333845879695	0.000635333845879695	5.31006333333333
NODE_10973_length_2198_cov_4.380775_1	-0.176663497767297	-3.08291507557285	0.0134390704039717	1	0.0134390704039717	0.0190602200440945	0.0190602200440945	-3.4781
NODE_1102058_length_460_cov_1.604938_1	0.304957654009844	6.791591896379	8.9121640538409e-05	1	8.91216405384089e-05	0.000419118815226212	0.000419118815226212	5.54469333333333
NODE_110654_length_1082_cov_1.540409_1	-0.156314061466788	-2.60324366514616	0.0291180049681077	1	0.0291180049681077	0.0381769398470746	0.0381769398470746	-2.80834333333333
NODE_111_length_69898_cov_49.514268_29	-0.255027999431251	-4.41968130240152	0.00176881438984363	1	0.00176881438984363	0.00380876091243701	0.00380876091243701	-4.76929
NODE_111186_length_404_cov_3.134670_2	-0.253240921081739	-5.43821564884429	0.000446221641005575	1	0.000446221641005575	0.00126572484708312	0.00126572484708312	-4.61943
NODE_1126875_length_260_cov_1.873171_1	0.242246414181251	4.83117306035235	0.000995850464732924	1	0.000995850464732923	0.00236916037980816	0.00236916037980816	4.34008333333333
NODE_1157523_length_473_cov_3.181818_1	0.162540109342225	2.17453375995019	0.0583763141407988	1	0.0583763141407988	0.0714564841142558	0.0714564841142558	3.11548333333333
NODE_1160415_length_378_cov_2.133127_1	-0.205943523265385	-4.30847750097752	0.00207464721550184	1	0.00207464721550184	0.00434057396151093	0.00434057396151093	-3.77816
NODE_117765_length_1064_cov_3.125867_1	-0.297624415435872	-5.32886371128086	0.00051366034836291	1	0.00051366034836291	0.00139819503913163	0.00139819503913163	-5.43699333333333
NODE_1179582_length_256_cov_1.432836_1	0.204739177574162	4.69216210339309	0.00120580452004799	1	0.00120580452004799	0.00273624871857044	0.00273624871857044	3.54980333333334
NODE_1196675_length_464_cov_2.200489_1	-0.276243327850849	-6.00458947191105	0.000220967837107016	1	0.000220967837107016	0.000759776899948325	0.000759776899948325	-4.97704
NODE_12_length_417279_cov_36.723393_147	-0.192158260339405	-4.35804070454341	0.0019318710936735	1	0.0019318710936735	0.00407072837595487	0.00407072837595487	-3.48062
NODE_12_length_417279_cov_36.723393_192	-0.298491464365785	-6.23967933250309	0.000167122797855097	1	0.000167122797855097	0.000635333845879695	0.000635333845879695	-5.38227666666667
NODE_12_length_417279_cov_36.723393_223	-0.173762801209507	-2.83317393631193	0.0200666849265025	1	0.0200666849265025	0.0270304659968869	0.0270304659968869	-3.02399
NODE_12_length_417279_cov_36.723393_34	-0.223611735924936	-4.10042993233555	0.00280933862349924	4	2.26569045444844e-06	2.67351473624916e-05	2.67351473624916e-05	-3.7553925
NODE_12_length_417279_cov_36.723393_87	-0.254480518774209	-5.39806847509836	0.000469794258516262	2	1.72841964713343e-05	0.000124361901440088	0.000124361901440088	-4.52707166666667
NODE_122_length_66535_cov_24.245412_42	-0.135224701524733	-2.84525073751604	0.0196794713649035	1	0.0196794713649035	0.0266304773057181	0.0266304773057181	-2.47086333333333
NODE_12302_length_734_cov_1.755523_1	0.159914245799543	3.55161483268338	0.00643297733278047	1	0.00643297733278047	0.0105004460972698	0.0105004460972698	2.85244333333333
NODE_124_length_66347_cov_34.362910_16	-0.292661155690272	-6.63979924188857	0.000105558767254976	1	0.000105558767254976	0.000464773676719669	0.000464773676719669	-5.35374666666667
NODE_1245987_length_359_cov_1.476974_1	-0.345707617214911	-7.26814615781196	5.32866612785686e-05	1	5.32866612785686e-05	0.00029659556749392	0.00029659556749392	-6.18386666666667
NODE_125_length_31678_cov_14.865984_18	0.17861955592916	3.29553369507106	0.00959321419749645	13	1.2198555590601e-11	2.5704099280195e-10	2.5704099280195e-10	3.24707897435897
NODE_1253700_length_427_cov_1.387097_1	0.104551022822209	1.51808076398622	0.164090169791834	1	0.164090169791834	0.186179231109966	0.186179231109966	1.73451666666667
NODE_1262635_length_356_cov_2.355482_1	0.121796269076077	2.15264579863504	0.0604762380912997	1	0.0604762380912997	0.0734176552960222	0.0734176552960222	2.02855
