Protein	A_Hi_GH	B_Hi_GH	C_Hi_GH	A_Lo_GH	B_Lo_GH	C_Lo_GH
NODE_100_length_80732_cov_39.012519_68	27.7795028575479	27.7637623784501	28.277816343407	23.2781211865558	24.2405053374096	22.8346081898401
NODE_10033_length_2487_cov_4.811266_2	22.7773154328199	22.3445470829542	21.8116673131619	24.2958608394595	24.9458792237691	24.9679400236316
NODE_1010_length_28714_cov_50.468021_16	27.4986880572758	26.6741138031902	25.8580424805802	25.3181726135266	25.3770966501033	25.9840714120992
NODE_101703_length_374_cov_1.902821_1	28.977273633835	28.5063891258861	27.0313897480164	22.8414919632939	27.5682294380316	22.2011431366774
NODE_1017061_length_481_cov_1.500000_1	25.2978208330237	25.8681122884311	25.1491870546752	23.1950065104271	21.2349024502892	21.9446852442163
NODE_102_length_38513_cov_17.481356_19	27.6666863634948	28.0439476799128	28.0667733936102	35.2009848812435	33.6118591873388	34.2323438577067
NODE_1024163_length_269_cov_0.897196_1	23.4590142971042	23.6385410901711	23.4173817809205	24.8641494860496	22.0029695561942	22.5886991533298
NODE_1026_length_28395_cov_7.872336_5	21.0861994983819	23.8040274642644	20.9053356625224	25.52644550959	27.4155455325604	25.4675903766638
NODE_103_length_38258_cov_14.684711_2	24.3827100349545	24.5361126491406	22.8778162158464	28.0039048652387	27.570938222038	27.0006127945071
NODE_1031385_length_268_cov_1.352113_1	23.7951555809331	22.8953807907364	21.4507868289006	27.803658558659	25.7487313187588	27.3945206554325
NODE_1047_length_8409_cov_4.561887_7	23.2547153441858	29.0485102803327	28.7485202034213	31.1208989699391	27.7255944653946	28.7310596983472
NODE_10511_length_1983_cov_2.682573_2	24.20369860366	24.6191650530094	23.6795712873139	26.3069955642647	26.979052428489	26.8265439293647
NODE_1051488_length_501_cov_1.322870_1	27.074696642268	26.9323573275182	26.0221891516804	22.4899209191024	27.6008788555266	22.7708729251568
NODE_1054466_length_500_cov_1.723596_2	29.6318348761974	28.0907335188408	26.4982163122989	21.4364126979438	21.4968620747341	21.749553734886
NODE_1059_length_27807_cov_11.604713_11	23.6043223359727	26.3549786625938	26.1290998192218	26.3121092888946	24.6603598221881	25.6473246906645
NODE_10682_length_3411_cov_4.659714_2	22.9632368276506	24.5216990082155	23.1790767345783	26.9856573046971	25.4360618464326	25.8957361300059
NODE_1093315_length_390_cov_1.677612_1	31.3146788156557	30.4594364966824	30.4018207066916	30.7714022177415	29.5371962384479	30.8472239097961
NODE_1096_length_27003_cov_13.435394_2	28.1455476209137	27.3564906575349	28.0492116707133	21.7882434325455	22.7889447000801	21.8041142944884
NODE_1096167_length_489_cov_1.679724_2	22.9393550174087	22.946220199411	21.8833241180164	28.3739730266815	26.9895602920834	28.3355605254839
NODE_10973_length_2198_cov_4.380775_1	28.1451588722055	29.6273710401085	30.320339304553	27.0952685564084	26.5287421539962	24.0345629248422
