"Function"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"enzyme regulator activity [GO:0030234]"	-0.61003400925951	8.11487244340065	25.9690443598279	3.46935969935639e-07	0.000462118711954271
"exo-alpha-sialidase activity [GO:0004308]"	1.13788221186042	6.97418555034129	19.3903667302493	1.06543136342222e-05	0.00709577288039198
"ammonium transmembrane transporter activity [GO:0008519]"	-0.50548794627839	7.81175693668157	17.575061663933	2.76186622910172e-05	0.0122626860572116
"alpha-mannosidase activity [GO:0004559]"	0.68761754023643	8.72614975888065	16.2026586540872	5.69141838707462e-05	0.0189524232289585
"L-arabinose isomerase activity [GO:0008733]"	-0.506869094593755	7.80640461687879	15.6278793379627	7.71092964238428e-05	0.0205419165673117
"monovalent cation:proton antiporter activity [GO:0005451]"	0.861931203930786	6.38142136224699	15.1880778792634	9.73158895612725e-05	0.0216041274826025
"butyryl-CoA dehydrogenase activity [GO:0004085]"	-1.01158045396386	5.9425317214071	14.7462568162069	0.000122991457468343	0.0234035173354047
"hydroxylamine reductase activity [GO:0050418]"	1.13226864102739	5.63930343184968	13.1584588831514	0.000286224194602018	0.0476563284012361
"galactarate dehydratase activity [GO:0008867]"	-1.01992287332669	6.11102621795066	12.6878797756792	0.000368033342561956	0.0544689346991695
"long-chain fatty acid luciferin component ligase activity [GO:0047474]"	0.929237874051061	6.23747489020623	12.3069555442853	0.000451273443901853	0.0563847866343568
"ABC-type phosphonate transporter activity [GO:0015416]"	-1.19450703190129	5.53429893053079	12.2484686899686	0.000465640129863307	0.0563847866343568
"diamine N-acetyltransferase activity [GO:0004145]"	1.04763964204113	5.7475859938776	12.0004821408222	0.000531867888880559	0.059037335665742
"diguanylate cyclase activity [GO:0052621]"	1.4672245003627	5.1906853418916	11.4402022212909	0.0007187196874363	0.0736411248973193
"D-proline reductase (dithiol) activity [GO:0050002]"	-1.19565503178871	5.33024013644117	11.2735731894065	0.000786182567767028	0.0747996557332629
"cobalt ion transmembrane transporter activity [GO:0015087]"	-0.98483723758421	5.42074729359838	10.5561053105939	0.00115804942811901	0.0987762883868924
"tocopherol cyclase activity [GO:0009976]"	0.886292894936517	6.06742806778777	10.4051674192706	0.00125663169226162	0.0987762883868924
"mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity [GO:0033925]"	1.07348071679587	6.92283466455185	10.3992598646471	0.00126065833526815	0.0987762883868924
"glycerol-3-phosphate cytidylyltransferase activity [GO:0047348]"	1.01717715866328	6.19645839007359	10.016318971892	0.00155159259712819	0.108461315986429
"tRNA nucleotidyltransferase activity [GO:0009022]"	0.982627982498913	5.50809246323796	9.98221610084646	0.00158059340051082	0.108461315986429
"3'-5' DNA helicase activity [GO:0043138]"	0.403761567417376	8.36289947960836	9.92008362676579	0.0016348495345956	0.108461315986429
"oligo-1,6-glucosidase activity [GO:0004574]"	1.1669289660904	5.46168489523251	9.83741565852224	0.00170997570248874	0.108461315986429
"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]"	-0.426592315839671	8.24480231157412	9.74348731780061	0.00179959161715876	0.108957092457067
"pyrimidine-nucleoside phosphorylase activity [GO:0016154]"	0.551878297442634	6.83975026358247	9.0486921998787	0.00262882795455758	0.14149128100588
"3 iron, 4 sulfur cluster binding [GO:0051538]"	-0.460184277647028	8.63756663031147	9.03641813028863	0.00264653670899223	0.14149128100588
"xanthine dehydrogenase activity [GO:0004854]"	-1.02773664481757	5.84100994548203	9.03015671747196	0.00265561713599624	0.14149128100588
"ethanolamine transmembrane transporter activity [GO:0034228]"	-0.932786483932174	6.2696226307122	8.27473751639332	0.00402004738184448	0.204799167733983
"nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity [GO:0008939]"	-0.610491758115374	7.1195451910743	8.21640567492715	0.00415133448109426	0.204799167733983
"N-acetylgalactosamine-6-phosphate deacetylase activity [GO:0047419]"	0.451761270412914	7.2730495514855	8.03053559523135	0.00459952366075001	0.215314995477849
"anthranilate synthase activity [GO:0004049]"	-0.766373592363986	5.84312270328734	7.99611245841054	0.0046877889405838	0.215314995477849
