"Function"	"A1HF"	"A1LF"	"A2HF"	"A2LF"	"B1HF"	"B1LF"	"B2HF"	"B2LF"	"C1HF"	"C1LF"	"C2HF"	"C2LF"
"(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]"	25	30	17	79	40	51	33	56	38	24	32	37
"(carboxyethyl)arginine beta-lactam-synthase activity [GO:0034027]"	0	2	0	5	0	2	0	2	0	0	0	0
"(R,R)-butanediol dehydrogenase activity [GO:0000721]"	2	0	0	2	1	1	1	1	2	0	1	1
"(R)-2-hydroxyacid dehydrogenase activity [GO:0050578]"	1	3	2	6	3	3	1	3	0	2	2	3
"(R)-3-amino-2-methylpropionate-pyruvate transaminase activity [GO:0047305]"	0	0	0	0	1	0	0	0	0	0	0	0
"(R)-citramalate synthase activity [GO:0043714]"	2	5	1	13	2	16	4	17	4	5	4	5
"(R)-limonene 1,2-monooxygenase NADH activity [GO:0106319]"	0	0	0	0	0	0	0	0	1	0	0	0
"(R)-limonene 1,2-monooxygenase NADPH activity [GO:0106320]"	0	0	0	0	0	0	0	0	1	0	0	0
"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]"	45	67	41	145	89	111	56	141	71	36	79	80
"(S)-2-haloacid dehalogenase activity [GO:0018784]"	0	0	0	1	0	1	1	1	1	0	1	0
"(S)-2-hydroxy-acid oxidase activity [GO:0003973]"	0	0	0	0	0	0	0	0	0	0	1	0
"(S)-3-amino-2-methylpropionate transaminase activity [GO:0047298]"	0	0	0	0	1	0	0	0	0	1	0	0
"(S)-limonene 1,2-monooxygenase activity [GO:0052601]"	0	0	0	0	0	0	0	0	1	0	0	0
"(S)-limonene 6-monooxygenase activity [GO:0018675]"	0	0	0	1	0	2	0	1	1	0	0	0
"(S)-mandelate dehydrogenase activity [GO:0033720]"	0	1	0	1	0	0	0	0	0	0	0	0
"[acetyl-CoA carboxylase] kinase activity [GO:0050405]"	0	3	1	0	1	0	2	1	0	2	0	3
"[acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]"	0	5	0	0	2	1	6	1	0	3	2	3
"[acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]"	32	50	25	110	71	73	49	95	61	29	61	50
"[citrate (pro-3S)-lyase] ligase activity [GO:0008771]"	7	14	8	46	18	41	12	41	20	8	17	22
"[formate-C-acetyltransferase]-activating enzyme activity [GO:0043365]"	41	65	37	150	99	124	72	123	77	23	74	70
"[glutamate-ammonia-ligase] adenylyltransferase activity [GO:0008882]"	2	9	2	2	2	2	3	2	2	4	2	5
"[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [GO:0047388]"	2	6	2	2	2	2	3	2	2	3	2	4
"[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity [GO:0008467]"	0	0	0	0	0	0	1	0	0	0	0	0
"[heparan sulfate]-glucosamine N-sulfotransferase activity [GO:0015016]"	2	11	2	0	3	1	5	1	2	9	7	10
"[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity [GO:0047322]"	0	3	1	0	1	0	2	1	0	2	0	3
"[protein-PII] uridylyltransferase activity [GO:0008773]"	2	6	2	5	3	3	3	4	2	1	2	4
"[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine O-N-acetyl-alpha-D-glucosaminase activity [GO:0102167]"	3	2	2	4	3	3	3	3	2	6	4	3
"[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine/L-threonine O-N-acetyl-alpha-D-glucosaminase activity [GO:0102571]"	3	2	2	4	3	3	3	3	2	6	4	3
"[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine O-N-acetyl-alpha-D-glucosaminase activity [GO:0102166]"	3	2	2	4	3	3	3	3	2	6	4	3
"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]"	27	32	25	90	53	66	42	94	56	15	37	48
"1-acyl-2-lysophosphatidylserine acylhydrolase activity [GO:0052740]"	2	5	2	3	4	3	3	3	3	4	4	3
"1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]"	17	24	11	88	38	68	19	78	40	15	37	39
"1-acylglycerophosphocholine O-acyltransferase activity [GO:0047184]"	1	2	0	0	0	0	1	0	1	1	3	0
"1-acylglycerophosphoethanolamine O-acyltransferase activity [GO:0106262]"	1	1	0	0	0	0	0	0	0	1	1	0
"1-acylglycerophosphoserine O-acyltransferase activity [GO:0106263]"	1	1	0	0	0	0	0	0	0	1	1	0
"1-alkenylglycerophosphocholine O-acyltransferase activity [GO:0047159]"	0	0	0	0	0	0	1	0	0	0	0	0
"1-alkenylglycerophosphoethanolamine O-acyltransferase activity [GO:0047166]"	1	1	0	0	0	0	0	0	0	1	0	0
"1-alkyl-2-acetylglycerophosphocholine esterase activity [GO:0003847]"	0	1	0	0	2	0	1	0	0	1	0	1
"1-alkylglycerophosphocholine O-acetyltransferase activity [GO:0047192]"	1	1	0	0	0	0	1	0	0	1	0	0
"1-alkylglycerophosphocholine O-acyltransferase activity [GO:0047191]"	0	0	0	0	0	0	1	0	0	0	0	0
"1-aminocyclopropane-1-carboxylate deaminase activity [GO:0008660]"	0	0	0	0	1	0	0	0	0	0	0	0
"1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604]"	37	64	40	128	77	87	55	111	67	29	72	68
"1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]"	79	112	56	223	138	134	103	200	124	58	115	110
"1-ethyladenine demethylase activity [GO:0103053]"	0	1	0	0	0	0	0	0	0	0	0	1
"1-phosphatidylinositol 4-kinase activity [GO:0004430]"	2	7	0	0	2	0	3	0	1	1	1	4
"1-phosphatidylinositol binding [GO:0005545]"	0	5	2	1	3	0	5	2	1	6	5	5
"1-phosphatidylinositol-3-kinase activity [GO:0016303]"	1	2	0	0	3	0	1	2	2	0	3	3
"1-phosphatidylinositol-3-kinase regulator activity [GO:0046935]"	1	6	2	0	6	0	6	1	1	7	5	8
"1-phosphatidylinositol-3-phosphate 5-kinase activity [GO:0000285]"	2	8	1	0	4	1	6	1	0	7	6	7
