Sample,SCFA_A1_HiF,SCFA_A2_HiF,SCFA_B1_HiF,SCFA_B2_HiF,SCFA_C1_HiF,SCFA_C2_HiF,SCFA_A1_LoF,SCFA_A2_LoF,SCFA_B1_LoF,SCFA_B2_LoF,SCFA_C1_LoF,SCFA_C2_LoF
"1,3-dihydroxyacetone",1885.8,2404.7,1806.3,2455.4,2416.9,1877.4,3223.4,6082,2527.3,1317.3,4897.9,3219.4
2-deoxyuridine,3874.3,4307.3,3450.4,6072.7,2885.5,3769.7,3188.2,4901.5,2431,5148.1,8568.5,7039.9
2-hydroxyglutaric acid,5761.2,5804.2,4554.7,7055.7,2034.9,4402.4,1175.7,5249.9,2229.7,6701.2,1404.6,2455.4
2-ketoisocaproic acid ,335,192.2,157.7,396.7,389.3,206.1,941.3,4044.4,784.5,1924.8,2445.8,332.6
3-(3-hydroxyphenyl)propionic acid,2047.3,0,2267.7,13886.9,118.8,3915.3,1262.4,831.1,900.3,1273.7,1319.2,1234.9
3-hydroxybutyric acid,4896.7,3889.7,5497.9,7049.5,6394.7,6160.3,14155.3,15756.6,10456.8,12554.1,16506.7,15261.3
4-hydroxyphenylacetic acid,3430.6,233.4,1445.7,748.1,710.6,2072.7,9341.2,14122.3,5437.9,8974.3,11258.3,8583.2
6-deoxy-D-glucose,8114.6,5880.5,9137.3,13931.4,8136.7,7366.8,22147.4,24861.8,13212.9,26129.3,18128.5,16121.2
alpha tocophereol,103488.3,116917.8,98136.4,136641.3,83937.5,113445.2,106868,147120.5,134550.7,154323.3,101829.4,135437.6
alpha-muricholic acid,2412.6,2416,2580.1,4950.4,2220.2,2927.7,4527.7,5354.9,6352.6,3863.6,4260.7,2480
aminomalonic acid,5126.4,3925,3407.8,5818.3,8728.9,4313.3,14202.3,5396.8,8400.6,12158.4,24085,17200.2
arabitol,6605.3,6746,6671,12732.8,7260.8,7978.2,7466.7,8836.9,5336.9,5045.9,8431.3,7612.5
arachidic acid,2381.2,3255.5,5313.6,8227.2,6879.9,5934.3,11019.7,10615,12325.1,6702.1,6596.5,5466.7
arachidonic acid,18908.5,10952,14365.1,16129.6,15213.5,13853.4,72481.3,46670.7,43726.5,54263.3,109722.8,48407
behenic acid,25759.3,32974.6,98941.5,134150.5,105997,113617.5,51809.2,108076.1,80048.5,55064.1,35093.1,40335.6
beta-glycerolphosphate,83.2,1096.6,927.6,87.8,75.8,0,5571.8,3021.8,0,486.7,842,1016.1
beta-muricholic acid,47865.3,33664.2,22198.7,24153,33060,38072.4,19402.9,21605,25665.6,7186.8,22994.4,6021.8
beta-sitosterol,28229.9,37814,35625.6,45964.1,28026.9,44001.5,63688.6,79883.3,52457.2,27480.6,63997.1,90707.5
beta-tocopherol,41245.6,47559.5,40604.1,63739.4,36537,48896.7,36878.3,54068.1,50623.2,54383.7,31616.3,49017.6
campesterol,26988.1,29664.6,30322.2,31642.5,21566.2,32125,85415,65984.5,52881.1,27089.9,103563,106265
carbonate ion,17071.3,11571.4,24185.3,25735.3,33573.5,31146.6,78544.7,65997.6,69556,70415.6,71205.6,65359.8
chenodeoxycholic acid,12181.5,4119.2,2989.8,2165.4,367.1,2428.3,3125.1,0,0,4248,9372,3395.7
"cholesta-3,5-diene",8139.3,8498.2,6237.9,7969.8,5824.5,6740.3,9544.4,6828.3,5690.4,7139.6,9988.2,10898.3
cholestanol,7327,6099.2,6909.5,6623.2,5735.2,7596.2,19035.3,17313.9,26426.2,44109.2,27650.9,17759.9
cholesterol,211713.2,210512.2,274513.7,252092.1,421378.8,249970.2,738271,304863.5,453570.4,396437.9,894507.5,828129.5
cholic acid,73182.2,44144.4,45290.2,38548.2,31069.9,32757.8,51408.6,79122.9,53820.2,60741.4,33158.9,13148.5
citric acid,1034.9,15581.2,8144.3,1459.8,12068.7,1484.1,1831.1,2222,2177.4,6217.3,6622.6,3164.5
coprostanol,2335,574.2,1593.1,1343.6,24935.8,11599.1,11988.7,10186,53913.8,138839.8,11465.5,10228.4
creatinine,2693.8,1896.9,1784,2872,4493.6,1947,9457,3615.3,3365.1,8385.9,16453.4,11091.1
dehydroalanine,944.4,889.8,1359.6,1612.5,2099.4,1435.8,5282.3,8615.1,5917.4,5384.6,14419.5,9999.6
delta-tocopherol,10999.1,14830.9,10624.3,18248.5,10399.2,13304.7,8750.3,12038.4,12518.1,11858,6554.9,12007
D-galacturonic acid,212340.3,268347,229026.5,267584.8,138269.6,207588,20740.8,21852.9,12893.6,16269.3,37323.5,20608.3
D-gluconic acid,4142.6,5476.8,1282.9,2332.4,2924.5,1755.4,5494.5,3170.7,3270,3983.6,7757,4658.2
D-glucose,159226.6,402919.1,296369,555055.6,134391.4,482559.9,547729.2,2447058.9,1866512.2,1231447.2,561228.9,1123530.8
D-glucuronic acid,13480.1,11781.1,15103.4,17371,9898.6,14810.3,13001,14014.2,8335.8,10943.7,23090.1,12968.7
DL-dihydrosphingosine,13656.9,13390.9,12599.3,21111.7,8014.1,12238.5,6401.5,5810.9,8552.5,9882,8188.6,7178.1
D-malic acid,18778.8,20449.4,12492.1,30122.4,12864.4,13003.1,47719.8,35378.4,37368.5,34421.3,71370.3,81003
D-mannitol,803.9,815.5,670.6,572.3,934.8,2595.2,1006.3,3075.9,1584,267.7,689.2,1376.5
D-mannose,95699.3,166126.2,81721.5,113371.6,26544.2,48908.3,9664.3,8374.2,17634.2,24133.7,13815,13652.2
docosahexaenoic acid,8533.5,6014.8,7035,8618,8158.8,7502.3,38782.4,23803.2,23516.9,28494.9,49990.3,28575.5
D-ribose,120666,95386.2,130115,246702.6,152034,218525.5,349959.2,308760.2,215087.7,249581.6,507063.5,338781.9
D-sphingosine,20464.7,9984.5,15996.4,18078,11068.1,12713.3,31909.4,24524.4,20409,21146.9,43530.1,28963.4
D-xylose,5321.5,5278.8,11195.1,23219.1,9565.4,4787.1,43770.7,15883.6,33781.9,42523,1598.9,17349.4
eicosapentaenoic acid,11829.9,6382,4526.4,6944,3466.4,7860.2,4034,4202.5,1132.1,3869.4,2330.8,1891.6
eicosatrienoic acid,5803,3623.4,4855.8,6629.3,8180,5346.8,18038,17888.9,12694,13805.3,31224.2,18694.2
ethanolamine,65388.1,46482.6,79996.1,116049.3,70135.3,97290.1,141517.5,109720.9,87336.3,93195.6,223380.2,127587.3
fructose,393931.6,702583.3,492783.3,408647.1,191386.5,187613.7,20768.3,26243.4,57548.5,75017.2,17728.3,31295.8
fucose,2987.2,3506.6,7167.6,14813.5,2281,8666.1,2512.9,3696.5,10693.6,2998.8,13732.6,2028.8
fumaric acid,73,12237.6,7755.8,27305.4,9582.1,12894.1,45943,16539.5,17908,19346.2,41586.2,49421.4
galactonic acid,1016.1,1105.8,708.1,1887.9,1258.1,1046.3,936.3,2312.9,1812.1,1881.3,3309.7,318.4
