"Metabolite"	"coefficient"	"p_value"	"bh"	"Class"	"KEGGid"
"lactate"	1.3424479193541	1.16084447210293e-06	0.000110774792024283	"Misc"	"C00186"
"D-galacturonic acid"	-3.3977251512437	1.64110802998938e-06	0.000110774792024283	"Carbohydrate"	"C00333"
"dehydroalanine"	2.53338662483569	2.64894747130507e-06	0.000119202636208728	"Amino acid"	"C02218"
"fructose"	-3.42464755799821	6.26043734989106e-06	0.000134929529487412	"Carbohydrate"	"C00095"
"L-tyrosine"	1.83710144802984	6.76835488236511e-06	0.000134929529487412	"Amino acid"	"C00082"
"L-lysine"	2.36588281892956	6.95997155258273e-06	0.000134929529487412	"Amino acid"	"C00047"
"docosahexaenoic acid"	2.02995115739058	6.99634597342138e-06	0.000134929529487412	"Lipid"	"C06429"
"L-proline"	1.43947145065436	9.82470136332854e-06	0.000140841659188949	"Amino acid"	"C00148"
"L-leucine"	1.71137883708459	1.00917886710786e-05	0.000140841659188949	"Amino acid"	"C00123"
"linoleic acid"	2.28520866608948	1.10199328634601e-05	0.000140841659188949	"Lipid"	"C01595"
"methyl phosphate"	1.35367741195742	1.14759870450255e-05	0.000140841659188949	"Misc"	""
"mannitol phosphate"	-2.38451212225192	2.35435837269758e-05	0.000244491061780133	"Carbohydrate"	"C00644"
"3-hydroxybutyric acid"	1.331108196992	2.57743420693599e-05	0.000245916339132172	"Misc"	"C01089"
"L-alanine"	1.34329714796214	2.73240376813524e-05	0.000245916339132172	"Amino acid"	"C00041"
"phosphate ion"	1.05036562597128	3.17167677744311e-05	0.000267610228096763	"Inorganic ion"	"C00009"
"L-valine"	1.59776826043168	3.92778610423832e-05	0.000296583292770682	"Amino acid"	"C00183"
"L-isoleucine"	1.73425452308324	4.1681414098844e-05	0.000296583292770682	"Amino acid"	"C00407"
"arachidonic acid"	2.00691959403969	4.17413523158737e-05	0.000296583292770682	"Lipid"	"C00219"
"carbonate ion"	1.6406631341825	5.21443843585416e-05	0.000344685311140306	"Inorganic ion"	"C00288"
"eicosatrienoic acid"	1.68713530928667	5.36177150662698e-05	0.000344685311140306	"Lipid"	"C03242"
"L-serine"	1.42037032498993	6.03587765479273e-05	0.0003703834015441	"Amino acid"	"C00065"
"L-threonine"	1.56515237622892	6.40687305260148e-05	0.000376055592217913	"Amino acid"	"C00188"
"L-methionine"	1.67361555360393	8.90461044606447e-05	0.000500884337591127	"Amino acid"	"C00073"
"L-phenylalanine"	2.32229297868878	0.000102440155054717	0.000553176837295469	"Amino acid"	"C00079"
"hexadecanedioic acid"	1.46185726530605	0.00010693917684605	0.000555261110546796	"Lipid"	"C19615"
"tartaric acid"	4.51420720152499	0.00014475950981485	0.000723797549074249	"TCA"	"C00898"
"hexadecylglycerol"	1.5089279222615	0.000192179287686789	0.000897358442655361	"Lipid"	""
"oleic acid"	2.16632754827774	0.000192765887681522	0.000897358442655361	"Lipid"	"C00712"
"L-cysteine"	2.19186837304151	0.000260876039567822	0.0011739421780552	"Amino acid"	"C00097"
"D-mannose"	-2.47422340820777	0.000291831320719203	0.00127087833216427	"Carbohydrate"	"C00159"
"L-aspartic acid"	0.820533947889161	0.000482665275049728	0.00203624412911604	"Amino acid"	"C00049"
"glycolic acid"	1.25323406541649	0.000551070614663537	0.00225437978725992	"Misc"	"C00160"
"L-threonic acid"	2.05600873072237	0.000593625448676469	0.00235704222268598	"Amino acid"	"C01620"
"scyllo-inositol"	-2.00564413784515	0.000663484304339672	0.00255915374531016	"Carbohydrate"	"C06153"
"L-citrulline"	2.73517468160532	0.000685153740997319	0.00256932652873995	"Amino acid"	"C00327"
"L-tryptophan"	1.84419599769115	0.000745934007279887	0.00272165110764283	"Amino acid"	"C00078"
"6-deoxy-D-glucose"	1.20891567240837	0.000971580731359119	0.00345166838772319	"Carbohydrate"	"C02522"
"octadecylglycerol"	1.45423228242367	0.00120707632852596	0.00417834113720525	"Lipid"	""
"4-hydroxyphenylacetic acid"	3.14929387653785	0.00127982790095824	0.00431941916573406	"Misc"	"C00642"
"myo-inositol"	1.41274711809421	0.00135412281201918	0.00445869706396559	"Carbohydrate"	"C00137"
"stigmastanol"	4.16489372499385	0.00171985891353972	0.00552811793637768	"Sterol"	""
"D-malic acid"	1.50343738359993	0.00184725112964509	0.00579950936051365	"TCA"	"C00497"
"cholesterol"	1.08799455021051	0.00198143303567549	0.00607939681400434	"Sterol"	"C00187"
"hypotaurine"	0.897479881203522	0.00283194797422299	0.00846979830341574	"Misc"	"C00519"
"DL-dihydrosphingosine"	-0.78172288673505	0.00288600534783055	0.00846979830341574	"Lipid"	"C00836"
"myristic acid"	1.31837840990311	0.00304795330383342	0.00875475948973429	"Lipid"	"C06424"
"creatinine"	1.59769583845728	0.00337821362727087	0.00935852167959453	"Misc"	"C00791"
"L-glutamic acid"	0.851466720706391	0.00339679675777875	0.00935852167959453	"Amino acid"	"C00025"
"D-ribose"	1.05716763789137	0.00363811372056338	0.00945512154779662	"Carbohydrate"	"C00121"
"aminomalonic acid"	1.2923797055839	0.00364479776206748	0.00945512154779662	"Amino acid"	"C00872"
"campesterol"	1.23056383639418	0.00367543020187738	0.00945512154779662	"Sterol"	"C01789"
"methyl hexacosanoate"	3.02856792270053	0.00371201068172756	0.00945512154779662	"Lipid"	""
"methyl eicosenoate"	1.5982059573364	0.0038658100753033	0.00966452518825826	"Lipid"	""
"D-glucose"	1.91180090362812	0.00546810370742704	0.0134217091000482	"Carbohydrate"	"C00031"
"N-acetylneuraminic acid"	2.77690417917266	0.00588823084138354	0.0141948422069068	"Carbohydrate"	"C00270"
"glycine"	0.82743078159413	0.00611267044754702	0.0144773773757693	"Amino acid"	"C00037"
"thymine"	0.811853626919952	0.00638471968277471	0.0148609854685273	"Misc"	"C00178"
"2-ketoisocaproic acid "	2.30345230493371	0.00662264132402206	0.0151535013346268	"Misc"	""
"eicosapentaenoic acid"	-1.27091788907924	0.00682652102763967	0.0153454404161329	"Lipid"	"C06428"
