"Metabolite"	"coefficient"	"p_value"	"bh"
"acetate"	-1.47312250165012	0.000161757818555342	0.0021173610987733
"acetol"	-1.32408130513189	0.000177758084237838	0.0021173610987733
"propionate"	-1.60377448498989	0.000235262344308145	0.0021173610987733
"linolenic acid"	1.09097260932147	0.00346010532379286	0.0215576627812606
"linoleic acid"	1.22753731479824	0.00399215977430752	0.0215576627812606
"trimethylpyrazine"	-0.626530028950603	0.00964757262936909	0.0393742943062555
"pentadecanoic acid"	-0.928995550604755	0.0115304362989665	0.0393742943062555
"arachidonic acid"	0.621798976359007	0.0116664575722238	0.0393742943062555
"2-ethyl-6-methylpyrazine"	-0.710184730495074	0.017351179500036	0.0520535385001081
"formic acid"	-0.568856713403683	0.0247286124573816	0.0667672536349303
"1-hydroxy-2-propanone"	-0.695066956086869	0.0415347902589179	0.101949030635526
"3-ethyl-2,5-dimethylpyrazine"	-0.410354335460002	0.0721290061434395	0.153535741674269
"stearic acid"	-0.700915560645294	0.0739246163616853	0.153535741674269
"palmitoleic"	0.682671940590577	0.0988888747489949	0.19071425844449
"2,5-pyrazine"	-0.545090402702858	0.134924969542489	0.242864945176481
"pentanoic acid"	0.337583465067824	0.156201471564679	0.259623570268014
"2-methylhexanoic acid"	-1.10447273535356	0.163466692390972	0.259623570268014
"butanoic acid"	-0.505995377484118	0.21998669184591	0.329980037768864
"2,5-dimethyl-3-(3-methylbutyl) pyrazine"	-0.284297270370944	0.279517047036021	0.397208435261714
"glycerin"	0.26774129558979	0.342836972509036	0.462829912887199
"methyl myristate"	0.235043458551739	0.362042573203578	0.465483308404601
"2-methylpropanoic acid"	0.22363370024483	0.384896727918045	0.47186538478767
"acetamide"	0.0989159750790108	0.401959401856164	0.47186538478767
"hexadecanoic acid"	0.465345447669419	0.551591098516192	0.620539985830716
"methyl caprylate"	0.139722361495283	0.594956286336112	0.642552789243001
"tetradecynoic acid"	-0.256626009050345	0.678667510747494	0.704770107314706
"2-furanmethanol"	0.073294212565934	0.822186326967932	0.822186326967932
